date,Content,Likes,Retweet
2022-12-09 11:01:30+00:00,"I introduced a Private Member’s Bill to amend the Juvenile Justice Act, 2015, to make offences attracting imprisonment over three years cognizable. My reasoning is attached. We must protect our children! https://t.co/LWvGpgRD0J",520,64
2022-12-09 02:22:15+00:00,https://t.co/GoMsrxp50T,5427,255
2022-12-08 18:14:37+00:00,"Inspiring anthem for the @indiannavy by two creative geniuses from my constituency,
@Sanjevvsivan1
@deeptisivan : https://t.co/po63dIZFlf

Instagram
@sanjeev_c_sivan
@deeptipillaysivan 
 facebook
@Sanjeev Sivan
@Deepti Sanjeev sivan",183,24
2022-12-08 15:06:17+00:00,Good to chat with @carlbildt &amp; his Swedish colleagues Ambassador Magnus Scholdtz of Wallenberg and Jonatan Stelander of the Swedish Embassy in New Delhi. https://t.co/SDCPyXl34r,552,38
2022-12-08 15:02:38+00:00,"Great to catch up with my old friend, former Swedish PM ⁦@carlbildt⁩, &amp; startling to realise that we first met 30 years ago! Carl’s probably the most well-read international statesman on the subject of India, its history, culture &amp; politics https://t.co/0Qycqn6FHD",518,37
2022-12-08 14:23:19+00:00,"A powerful piece by @pravchak raises the issue of the ""faux nationalism"" justifying India’s purchases of Russian oil on patriotic grounds. ""In reality, it is only helping a few Indian private companies dance on the graves of Ukrainians."" https://t.co/8E2MaxOjLC",1635,424
2022-12-08 09:30:52+00:00,"My intervention under Rule 377 this afternoon reminded the LokSabha of the imperative need to address the woes of the coastal community, particularly the fisherfolk, despite the recent end to the Vizhinjam protests. I called on the Central Govt to offer a relief package for them. https://t.co/2wgZAPALjD",554,55
2022-12-08 09:27:10+00:00,My question to @jmscindia in the LokSabha this morning about extending the benefits of the Udaan scheme to under-served routes &amp; not just under-served airports. His reply talks about connecting rural airports (good!) but not about increasing connectivity between unconnected ones. https://t.co/9b31WXmvIr,1327,146
2022-12-07 12:07:13+00:00,"Warm congratulations to Cardinal Mar Baselios Cleemis, who has been elected President of the Kerala Catholic Bishops' Council for the second time after his distinguished earlier stint in 2013-2016. He succeeds Cardinal Mar George Alenchery, who served ably 2019-2022. 🙏 https://t.co/xchdA2X5nt",574,42
2022-12-07 07:28:23+00:00,Both my friend @hibieden MP and I submitted Zero Hour notices in the LokSabha on #Vizhinjam &amp; the problems of the coastal community. He won the lottery to speak today; I didn’t. We largely subscribe to each other’s views on this vexed issue.,710,61
2022-12-06 17:46:38+00:00,congratulations to the proud father @Atulchtr! My best wishes to @Aishwarya_Chtr for continued success! @unwomenindia,164,23
2022-12-06 17:16:29+00:00,"My congratulations also to Cardinal Mar Baselios Cleemis for his sterling mediation efforts between the protestors &amp; Chief Minister @pinarayivijayan, to resolve the crisis and bring the nearly four-month old agitation to an end.",183,25
2022-12-06 15:28:27+00:00,"2/2 Let us now strive to address the genuine demands of the fishing community, subsisting in dire straits on the Kerala coast, ensuring relief&amp;rehabilitation for those displaced by sea inundations &amp; strong measures to protect them against coastal erosion &amp;extreme weather.",224,26
